NU_ANO_SAEB|CO_UF|CO_MUNICIPIO|IN_CAPITAL|IN_PREENCHIMENTO|CO_TRATAMENTO|DT_PREENCHIMENTO|MG1Q01|MG1Q02|MG1Q03|MG1Q04|MG1Q05|MG1Q06|MG1Q07|MG1Q08_A|MG1Q08_B|MG1Q08_C|MG1Q08_D|MG1Q08_E|MG1Q08_F|MG1Q08_G|MG1Q09|MG1Q10|MG1Q11|MG1Q12|MG1Q13|MG2Q01|MG2Q02|MG2Q03|MG2Q04|MG2Q05|MG2Q06|MG2Q07|MG2Q08|MG2Q09|MG2Q10|MG2Q11|MG2Q12|MG2Q13|MG2Q14|MG2Q15|MG2Q16|MG2Q17|MG2Q18|MG2Q19|MG2Q20|MG2Q21|MG2Q22|MG2Q23|MG2Q24|MG2Q25|MG2Q26|MG2Q27|MG2Q28|MG2Q29|MG2Q30|MG2Q31|MG2Q32|MG2Q33|MG2Q34|MG2Q35_A|MG2Q35_B|MG2Q35_C|MG2Q35_D|MG2Q35_E|MG2Q35_F|MG2Q35_G|MG2Q35_H|MG2Q35_I|MG2Q35_J|MG2Q36|MG2Q37|MG2Q38|MG2Q39|MG2Q40|MG2Q41|MG2Q42|MG3Q01|MG3Q02|MG3Q03|MG3Q04|MG3Q05|MG3Q06|MG3Q07|MG3Q08|MG3Q09|MG3Q10|MG3Q11|MG3Q12|MG3Q13|MG3Q14|MG3Q15|MG3Q16|MG3Q17|MG3Q18|MG3Q19|MG3Q20|MG3Q21|MG4Q01|MG4Q02|MG4Q03|MG4Q04|MG4Q05|MG4Q06|MG4Q07|MG4Q08|MG4Q09|MG4Q10|MG5Q01|MG5Q02_A|MG5Q02_B|MG5Q02_C|MG5Q02_D|MG5Q02_E|MG5Q02_F|MG5Q02_G|MG5Q03|MG5Q04_A|MG5Q04_B|MG5Q04_C|MG5Q05_A|MG5Q05_B|MG5Q05_C|MG5Q05_D|MG5Q05_E|MG5Q05_F|MG5Q05_G|MG5Q06|MG5Q07_A|MG5Q07_B|MG5Q07_C|MG5Q07_D|MG5Q07_E|MG5Q07_F|MG5Q07_G|MG5Q07_H|MG5Q07_I|MG5Q08|MG6Q01|MG6Q02|MG6Q03|MG6Q04|MG6Q05_A|MG6Q05_B|MG6Q05_C|MG6Q05_D|MG6Q06|MG6Q07|MG6Q08_A|MG6Q08_B|MG6Q08_C|MG6Q08_D|MG6Q08_E|MG6Q08_F|MG6Q08_G|MG6Q08_H|MG6Q09_A|MG6Q10|MG7Q01
2021|11|1100114|0|1|0|18OCT2021|B|69|A|B|D|A|A|A|B|C|D|E|F|||30|27|A|B|A|A|A|A|A|40|A|A|A|A|A|A|A|Coordenadoria Regional Estadual  de  Educação de Jaru|A|A|A|B|A|B|B||C|A|A|A|A|A|A|A|A|A|A|Capacitação em utilização de Tecnologias Digitais.|A|||D||F||||||A|A|A|A|A|A|A|203|A|A|A|A|B|A|A|A|A|A|A|A|B|B|A|A|A|A|A|A|A|A|0|A|A|A|A|A|A|A|A|B|C||E||G|A|A|B|C||||D||||A|A|B|C||E|F|G|H|||A|A|A|A|A|B|C|D|A|A|A||C|||||||B|Não tenho sugestões a apresentar
2021|11|1100122|0|1|0|21DEC2021|A|50|A|B|D|B|B|||||||||||B|B|A|A|B|A|A|98|A|B|A|B|A|B|B||A|B|B|A|B|B|B||C|B|A|B|B|A|B|A|A|B|B|||B||||||H|I|||B|A|A|B|A|B|A|2|A|A|A|A|B|B|A|A|A|A|B|A|B|A|B|A|A|A|B||||3|A|A|A|A|A|A|A|A|B|C|||||A||B|||||D||||A|A|||||||H|||B|A|A|A||B|C|D|A|A|||C|||||||B|Consideramos muito bom o instrumental de avaliação.
2021|11|1100130|0|1|0|08NOV2021|B|48|A|B|D|A|A|A||C|D|E||||25||A|B|A|A|B|A|A|45|B|A|A|B|A|A|B||B|A|A|A|A|B|B||A|A|A|B|A|A|A|A|A|B|B|||||D||F|||I|||B|A|A|A|A|B|A|0|A|A|B|A|B|A|A|A|B|B||||||||||A|A|B|0|A|A|B|A|A|A|B||||||||B|||||||||||B|||||||||||A|A|A|A|A||C||A|B|A||C|D|E|||||B|Algumas das peculiaridades do município não foram possíveis de  serem apresentadas na íntegra por algumas opções de respostas sem o campo para a observação. Exemplo: A remuneração dos professores encontra-se em fase de efetivação.
2021|11|1100148|0|1|0|09NOV2021|B|54|A|B|D|A|B|||||||||||A|B|A|A|B|A|B||A|A|A|A|A|A|A|COMUNIDADE LOCAL.SEDUC.MP|B|A|A|B|A|B|B||C|A|A|B|A|A|A|A|A|A|B|||||||F|G||I|||A|A|A|A|A|A|A|43|A|A|A|A|A|A|A|A|B|B||||||||||A||B|15|B|A|A|A|A|A|||||||||||||||||||||||||||||||A|A|A|A|A|B|C||A|B|A|||||||||B|
2021|11|1100155|0|1|0|30NOV2021|B|37|C|B|D|A|A|A|||D|E||G|Coordenadora de Polo EAD|18|2|A|B|A|A|A|A|A|44|A|A|A|A|A|A|A|GOVERNO DO ESTADO E SECRETARIA DE MEIO AMBIENTE.|A|B|B|B|B|B|B||C|||||A||A||||||||D||||H|I|||A|A|A|A|A|B|A|1|A|A|B|A|B|A|A|A|B|B||||||||||A|B|B|2|A|A|B|A|A|A|A||B|C|||||B|||||||||||A||B|C||E|F|G|H|||A|A|A|A|A|B|C||A|A|A||C|||||||B|NÃO HÁ SUGESTÕES.
2021|11|1100189|0|1|0|21DEC2021|B|50|A|B|D|A|A|A||C||E||||26|5|A|B|A|A|B|A|A|512|A|A|A|A|A|A|||||||A|A|||A|A|A|B|A|A|A|A|A|A||||B|C|||||H||||B|A|A|A|A|B|||||||||||A|A|A|A|A|A|A|A|A|A|A|A|A|B|2|A|A|A|A|B||A|A||C||E|||A||B|C||||||F||A||B||D|E|F|G||||B|A|A|B|A|B|C||A|A||B|C|||||||B|
2021|11|1100205|1|1|0|04NOV2021|B|38|A|B|D|A|A|A||||E||G|Presidente do Conselho Municipal de Educação de Porto Velho.|20|1|A|B|A|A|A|A|A||A|B|A|B|A|A|A|Tribunal de Contas de Rondônia .Fundação Lemann|A||||||A|Ser do Quadro Municipal Estatutário do Magistério|B|A|A|A|A|A|A|A|A|A||||||D||||H|I||||A|A|A|||A|6|A|A|A|A|||A|A|B|B||||||||||A|A|B|6|A|A|A|A|A|A|A|A|B|C||E|||A||B|C|||||E|||A|||||||||||C|A|A|A|A|B|C||A|A|A|B|C|||||||B|
2021|11|1100254|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2021|11|1100262|0|1|0|07DEC2021|A|42|A|B|D|A|B|||||||||||A|B|A|A|B|A|A|9|A|A|A|A|A|A|B||A|B|B|B|B|B|B||B||A|B|A|A|B|A|B|B|B|||||D|||G||I|||A|A|A|A|A|A|A|0|A|A|A|A|B|A|A|A|B|B||||||||||A|A|B|1|A|A|A|A|A||A|A|B|C|||F|G|B|||||||||||B|||||||||||C||A|A|A||C||A|A|A|B|C|D||||||B|O município ainda não atende a educação infantil de 0 aos 2 anos, mas  ja esta se articulando para iniciar com alunos com dois anos no próximo ano de 2022.
2021|11|1100288|0|1|0|04NOV2021|B|44|A|B|E|A|A|A|B||D|E||||25|3|A|B|A|A|B|A|A|29|A|A|A|A|A|A|B||B|A|A|B|A|A|||C|A|A|B|A|A|A|A|A|A||||B||D|E|||||||A|A|A|A|A|A|A|4|A|A|A|A|B|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|B|4|A|A|A|A|A|A|A|A|B|C|||||A|A|B|||||D||||A|A|B|C|D|||||||A|A|A|A|||C||A|A|A|B|C||E|||||B|
2021|11|1100296|0|1|0|13OCT2021|B|45|D|B|C|B|A|||||||G|Presidente da União dos Dirigentes Municipais de Educação de Rondonia e Tecnica de Articulação da Undime Nacional|20|13|A|A|B|A|B|B|A|152|A|A|A|A|A|A|A|Sebrae, Detran|A|A|A|A|A|B|B||A|A|A|A|A|A|B|A|A|B|B||||C||E||||I|||B|A|A|A|A|B|A|28|A|A|A|A|B|A|A|A|A|A|B|A|B|B|A|A|B|B|A|A|A|A|6|A|A|A|A|A||A|A|B|C|D||||A|A|B|C||||D||||A|||||||||||A|A|A|A|A||C||A|A|A|B|C|D||||||B|questionario esta otimo
2021|11|1100304|0|1|0|21DEC2021|B|38|A|B|E|A|A|A|B|||E||||19||B|B|A|A|A|A|A|93|A|A|A|A|A|A|A|Conselho Municipal dos Direitos a Criança  e Adolescente - CMDCA .Ministério Público.Fundo das Nações pela Infância - Unicef|B|B|B|B|B|A|B||A|A|A|A|A|A|A|A|A|A|B|||B|C|||F||||||A|A|A|A|A|A|A|2|A|A|A|A|B|A|A|A|B|B||||||||||A|B|B|2|A|A|A|A|A|A|A|A|B||||||A||B|C|||||E|||A|A|B|||||||||B|A|A|A|||C||B|A|A|||||||||B|Nada a declarar.
2021|11|1100320|0|1|0|14OCT2021|A|54|C|B|C|A|A|A||||||||15|1|B|A|A|A|B|A|A|12|A|A|A|B|A|A|B||A|A|A|A|A|B|B||B|A|B|B|A|A|B|B|A|B|A|Ensino Híbrido. Elaboração de vídeo aulas. Uso de plataformas online para ensino remoto.||||D|||G||I|||A|A|A|A|A|B|A|0|A|A|A|A|B|A|B||B|B||||||||||A|A|A|0|A|A|A|A|B||A|A|B|||E|||A||B|C|||||E|||A|A||C|D||||H|||B|A|A|A|A|B|C|D|B|A|A||C|||||||B|Sem sugestões.
2021|11|1100338|0|1|0|04NOV2021|B|48|C|B|D|A|A||||D|||||14||A|B|A|A|A|A|A|12|A|A|A|B|A|A|A|Secretaria de Meio Ambiente|A|A|B|B|B|B|B||B|B|A|B|B|A|B|A|A|B|A|Treinamentos sobre a utilização das tecnologias durante o ensino remoto..Treinamento para professores sobre acolhimento aos alunos para retorno as aulas presenciais.||B||D|||||I|||B|A|A|B|A|B|A|1|B|A|B|A|A|A|A|A|B|B||||||||||A|A|B|5|B|A|B|A|B||A|A|B|C|||||B|||||||||||B|||||||||||C|A|A|C|||C||A|B|A|||D|E|||||B|dar opção de explanar melhor as resposta que não se aplica apenas com sim ou não.
2021|11|1100346|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2021|11|1100379|0|1|0|23NOV2021|B|44|A|B|D|A|A|A|||D|||||24|1|A|B|A|A|B|B|A|17|A|A|A|A|A|A|B||A|B|B|B|B|B|B||A|A|A|A|A|A|A|B|A|B|B|||B||D||F||||||A|A|A|A|A|A|A|1|A|A|A|A|B|A|A|A|A|A|B|B|A|A|A|A|A|A|A|A|A|A|2|A|A|A|A|A|A|A|A|B|C||E|||B|||||||||||A||B|||E|F|G||||C|A|A|C|A|B|C||A|A|A||C|D|E||G|||B|ótima estrutura.
2021|11|1100403|0|1|0|09NOV2021|B|43|A|B|D|A|A|||||||G|Orientação e Coordenadora do Laboratório de Informática.|13|1|B|B|A|A|A|A|A|17|A|A|A|A|A|A|B||A|B|B|B|B|B|B||C|A|A|A|A|A|B|B|A|B|B||||C|D|E|||||||A|A|A|A|A|B|A|0|A|B|A|B|B|A|A|A|B|A|B|B|A|A|A|A|B|A|A|A|A|B|4|A|A|A|A|A|A|A|A|B|C||E|||B|||||||||||A|||||||||||C|A|A|A|A||C|D|A|A||B|C|||||||B|Está completo..Obrigada.
2021|11|1100452|0|1|0|14OCT2021|B|55|C|B|D|A|A|A||C|D|||||30|2|B|B|A|A|B|A|A|42|A|A|A|B|A|A|B||B|B|B|B|B|A|B||A|A|A|A|A|A|A|A|A|A|A|Metodologias com Técnicas de Informática.Informática Básica.Cursos de Formação pela Escola (MEC).Educação Para o Trânsito.A Revolução da Educação em Sua Globalização do Processo Ensino Aprendizagem na Pandemia e Pós Pandemia||B||D|||G|||||B|A|A|A|A|B|A|1|A|A|A|A|B|A|A|A|B|B||||||||||A|B|B|4|A|A|A|A|A|A|A|A|B|C|||||A||B||||||E|||A|A|B|||||||||A|A|A|A|A|B|C||A|A|A|||||||||B|Sobre os maiores desafios enfrentados na educação na atualidade.
2021|11|1100502|0|1|0|24NOV2021|B|46|A|B|E|A|A|A|B|C||E||G|Representante de Ensino; Procuradora Institucional da Educação Superior; Coordenadora Pedagógico da Educação Superior.|23|4|A|B|B|A|B|B|B|17|A|A|A|B|A|B|B||A|A|B|B|A|B|B||C|A|A|A|A|A|B|B|A|B|A|Novas metodologias em tempos de pandemia; Utilização de software.||||D|||G||I|||A|A|A|A|A|A|A|3|A|A|B|A|B|A|B||B|B||||||||||A|B|B|4|A|A|B|A|B||A|A|B|C|D|E|||A||B|||||D||||A|A|B|||E|F|G|H|||A|A|A|A|A||C||A|A|A|B|C|D||||||B|O questionário contempla os temas essenciais.
2021|11|1100601|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2021|11|1100700|0|1|0|13DEC2021|B|35|B|B|C|B|A|||||E||||10||B|B|A|A|B|A|A|16|A|A|A|A|A|A|B||A|A|B|B|B|B|||C|A|A|B|A|B|B|B|B|B|B|||||D||||H|I|||B|A|A|B|B|B|A|1|A|A|B|A|A|B|B||B|B||||||||||A|B|B|1|A|A|B|A|B||A||B|C|||||A||B||||||E|||A|A|B|||||G||||B|A|A|A||B|C|D|A|A|A||C|||||||B|os temas abordados foram precisos para analisar as demandas do nosso município.
2021|11|1100809|0|1|0|19OCT2021|B|59|A|B|D|A|A||B|C|D|E||||20|1|A|B|A|A|B|A|A|23|B|A|A|B|A|A|B||A|A|B|B|B|B|B||C|B|A|A|A|A|B|B|A|A|B|||||D||||H|I|||B|B|B|B|B|B|A|1|A|A|A|A|B|A|B||B|B||||||||||A|B|B|1|A|A|A|A|B||A|A|B||||||A||B|C|||||E|||A||B|||E|||H|||B|B|B|A||B|C||A|A||||||||H|O município ainda não tem Plano de Carreira aprovado|B|Sem sugestões
2021|11|1100908|0|1|0|07DEC2021|B|46|C|B|D|A|A|A||C|D|E||||18|1|A|A|B|A|B|B|A|7|A|A|A|A|A|B|B||A|B|B|B|B|B|B||C|A|A|B|A|A|B|B|B|A||||||D||F||H||||B|B|B|B|B|B|A|6|B|A|B|A|B|A|A|A|B|A|B|B|A|A|A|A|A|A|A|A|B|B|2|B|A|B|A|A||B||||||||B|||||||||||B|||||||||||B|A|A|A|A|B|C|D|A|A|A|||D||||||B|
2021|11|1100924|0|1|0|14OCT2021|B|48|C|B|D|A|A|A||C||E||||15||B|B|A|A|B|A|B|20|A|A|B|A|A|A|B||A|A|B|B|B|B|B||C|B|A|A|A|B|B|B|A|B|A|Saúde Emocional||||||F||H|I|||B|A|A|A|A|B|A|0|B|A|A|A|B|A|B||B|B||||||||||A|A|A|0|B|A|A|A|B||B||||||||A||B|||B||||||B|||||||||||B|B|B|B|A||C||A|A||||||||||B|Nenhuma consideração.
2021|11|1100940|0|1|0|14OCT2021|A|39|B|B|D|A|B|||||||||||B|B|A|A|B|A|A|20|A|A|A|B|A|A|A|Sebrae.Tce - Ro|A|A|B|A|B|B|B||C|B|B|B|A|B|B|B|B|A|B|||B||D|||G|||||A|A|A|A|A|B|A|1|B|A|A|A|B|A|B||B|B||||||||||A|B|B|2|B|A|A|A|B||A|A|B||||||A||B|C|||||E|||A|||||||||||A|A|A|A|A||C||A|A|A|B|C|||||||B|Sem sugestão
2021|11|1101005|0|1|0|07DEC2021|A|30|C|B|D|A|A|A||||E||||9||B|B|B|A|A|A|A|15|A|A|A|B|A|A|B||A|A|B|B|A|B|B||C|B|A|B|B|B|B|B|B|B|B|||B||||F|||I|||A|A|A|A|A|A|A|3|A|A|A|A|B|A|A|A|A|A|B|B|A|A||A|A|A|A|A|A|B|4|A|A|A|A|A|A|A||B||||||B|||||||||||A|A||||||||||A|A|A|A|A||C|D|A|A|A|||||||||B|
2021|11|1101104|0|1|0|21DEC2021|B|60|C|B|E|A|A|A|B|C|D|E||||30|5|A|B||||||20|A|A|A|B|A|A|||A|A|B|B|B|B|B||B|A|A|B|A|A|A|A|A|A|B|||||D||||H|I|||B|A|B|A|A|B|A|2|A|A|A|A|B|A|A|A|B|B||||||||||A|B|B|2|A|A|A|A|A|A|A|A|B|C|||||A||B|||||D||||A|A|B|C|D|E|F|G|H|||A|A|A|A|A||C|D|A|A|A||C|||||||B|Não temos, está ótimo.
2021|11|1101203|0|1|0|21DEC2021|B|42|C|B|D|A|A|A||C|D|||||22|1|A|B|A|A|B|B|B|7|A|A|A|B|A|A|B||A|B|B|B|B|B|B||C|B|B|B|B|B|B|B|B|B|B||||C|D||F||||||A|A|A|A|A|B|A|0|A|A|A|A|B|A|B||B|B||||||||||A|B|B|1|A|A|B|A|B||A|A|B||||||B|||||||||||A|||||||||||B|A|A|B|A||C||A|A|A||C|||||||B|
2021|11|1101302|0|1|0|26NOV2021|B|39|A|B|D|A|A|A||||||||19||A|B|B|A|B|A|B||A|A|A|A|A|A|A|Detran, Sebrae.|A|B|B|B|B|B|B||C|B|B|B|B|B|B|B|B|B|B|||B||D|||||I|||B|B|A|B|B|B||||||||||||||||||||||A|A|B|1|B|A|B|A|A|A|A||B|C|||||A||B|C||||||F||B|||||||||||A|A|A|B|A|B|C|D|A|A|A|B|C|D|E|||||B|
2021|11|1101401|0|1|0|02NOV2021|B|43|A|B|E|A||||||||||||||A|A|B|A|A|||||||||||||||||||||||||||||||||||||||||||||||A||A|A|A|A|B|A|A|A|B|B||||||||||A|A|A||A|A|A|A|A|A|A|A|B||||||A||B|||||D||||A|||||||||||A|A|A|A|A|B|C||A|A|A|B||||||||B|
2021|11|1101435|0|1|0|13OCT2021|B||C|B|D|A|B|||||||||||A|B|A|A|B|B|B|13|B|||||||||||||||||||||||||||||||||||||||||||||A|2|A|A|A|A|B|A|A|A|B|B||||||||||A|B|A|11|A|A|A|A|A||A|A|B|C||E|||A||B|C||B||||||A|||||||||||C|A|A|C||B|||A|B|||C|||||||B|Fazer avaliação periodica com os professores..Tipo avaliar desempenho.
2021|11|1101450|0|1|0|30NOV2021|B|53|A|B|D|A|A|A|||D|||||21|1|A|B|A|A|B|A|A|76|B|A|A|A|A|A|B||A||||||||C||A||A|A|||A|||||B||||F||H||||A|A|A|A|A|B|A|4||A|A|A|B|A|B||B|B||||||||||A|B|B|16|A|A|A|A|B||A|A||C|D||||A||B|C||B||||||A||B|C||E|F|||||A|A|A|A|A||C||A|A|A|B|C|||||||B|NO QUESITO NUMERO DE SERVIDORES EU PREENCHIR ERRADO SAO 91 SERVIDORES EU COLOQUEI 76
2021|11|1101468|0|1|0|17NOV2021|B|47|B|B|C|A|A|A||||||||5||A|B|B|A|A|A|A|8|A|A|A|A|A|A|A|Esportes e Cultura|A|B|B|B|B|B|B||C|B|B|B|B|A|B|B|B|B|B|||B||D|||G|||||B|A|A|A|B|B|A|0|B|A|A|B|B|A|B||B|B||||||||||A|B|B|0|A|A|B|A|B||A|A||C|||||A||B||||||E|||A|A|B|||||||||C|A|A|A|||C||A|A|A|B|C|||||||B|Sem sugestão no momento.
2021|11|1101476|0|1|0|16OCT2021|B|57|A|B|C|A|A|||||E||||14|3|A|B|A|A|B|A|B|5|B|A|A|A|A|A||||||||A|||A||A|||A||||||||B||D|||||I|||||A|A|A|B|||||||||||B|B||||||||||A|A||2|A|A|B|A|A|A|A||B||||||A||B||||||E|||A||||||F|G||||A|A|A|A||B|C||A|A||B||||||||B|
